SYMBOL,2023-09-01,2023-01-03,2022-09-15,2023-09-15
GALAXYSURF,2669.4,2467.25,3304.25,2651.0
GALLANTT,92.8,63.8,62.55,96.6
GANDHITUBE,722.5,519.15,470.55,685.8
GANECOS,1052.15,924.45,641.6,1008.1
GANESHBE,172.55,142.5,126.95,160.65
GANESHHOUC,428.2,364.3,383.95,440.05
GANGESSECU,115.7,124.0,110.6,130.45
GARFIBRES,3187.25,3122.8,3502.3,3138.65
GATEWAY,86.05,69.25,70.85,86.7
GATI,147.05,143.1,188.45,167.55
GEECEE,182.9,157.15,153.25,199.0
GENESYS,346.85,443.9,,356.25
GENSOL,1920.0,,,1875.45
GENUSPAPER,18.85,18.75,16.6,19.1
GENUSPOWER,271.5,84.55,88.05,270.15
GEOJITFSL,57.85,47.95,52.95,53.1
GEPIL,174.9,138.0,159.25,176.1
GESHIP,768.2,661.9,548.65,836.25
GET&D,316.1,116.5,136.7,378.25
GFLLIMITED,84.0,65.15,78.35,82.25
GHCL,607.65,532.8,689.55,647.8
GHCLTEXTIL,79.1,,,77.45
GICHSGFIN,180.25,232.0,143.95,207.15
GICRE,219.55,196.3,129.3,235.15
GILLANDERS,74.25,75.55,71.55,78.95
GILLETTE,5537.2,5015.15,5404.0,6281.85
GILT5YBEES,52.85,50.33,49.56,53.08
GIPCL,128.5,83.7,92.3,142.85
GLAND,1768.1,1575.75,2322.8,1696.15
GLAXO,1438.3,1303.85,1405.9,1600.25
GLENMARK,757.05,434.7,393.35,856.5
GLFL,3.7,2.9,3.85,3.4
GLOBUSSPR,892.4,842.95,878.8,932.8
GLS,631.8,418.8,428.15,646.2
GMBREW,598.05,617.35,627.55,663.05
GMDCLTD,249.3,151.8,155.2,288.6
GMMPFAUDLR,1670.3,1601.05,1920.95,1839.45
GMRINFRA,62.95,40.8,40.2,60.65
GMRP&UI,28.45,23.2,28.3,42.05
GNA,545.55,720.3,744.15,495.25
GNFC,623.4,567.3,771.55,650.85
GOACARBON,530.9,561.65,476.75,528.25
GOCLCORP,431.5,363.95,293.15,434.4
GOCOLORS,1352.5,1174.4,1288.75,1387.85
GODFRYPHLP,2132.35,1998.85,1160.0,2069.9
GODREJAGRO,480.65,474.9,525.6,492.5
GODREJCP,1005.35,892.75,929.0,1002.05
GODREJIND,536.95,438.1,476.5,574.95
GODREJPROP,1643.65,1243.1,1390.7,1660.85
GOKEX,770.85,366.4,345.65,775.6
GOKUL,30.8,42.95,31.0,34.1
GOKULAGRO,111.25,133.45,91.65,115.2
GOLDBEES,50.37,47.63,43.05,50.12
GOLDETF,59.2,,,58.9
GOLDIAM,126.15,134.3,140.2,129.85
GOLDSHARE,50.6,47.6,43.05,50.25
GOODLUCK,577.9,388.7,484.95,582.55
GOODYEAR,1358.75,1140.45,1170.8,1316.35
GPIL,621.55,409.0,293.9,623.8
GPPL,129.95,104.2,93.35,131.5
GRANULES,302.3,326.45,318.2,331.25
GRAPHITE,476.55,384.3,393.15,506.8
GRASIM,1811.5,1717.05,1808.3,1972.85
GRAUWEIL,137.45,87.55,71.15,134.9
GRAVITA,783.75,449.5,328.35,804.0
GREAVESCOT,148.75,137.05,174.9,146.05
GREENLAM,443.65,331.4,329.65,457.6
GREENPANEL,381.5,341.9,444.0,385.6
GREENPLY,163.45,146.35,202.0,160.9
GRINDWELL,2251.05,1847.2,2225.0,2066.2
GRINFRA,1275.1,1178.7,1343.15,1263.25
GRMOVER,183.65,417.8,442.7,215.5
GROBTEA,906.45,876.55,1015.55,890.2
GRSE,815.75,492.5,340.4,844.9
GRWRHITECH,1237.05,670.55,789.85,1258.1
GSFC,177.6,139.8,147.8,172.85
GSLSU,179.85,,,173.75
GSPL,277.35,272.05,252.7,279.1
GSS,197.0,254.5,239.9,206.45
GTL,7.6,8.1,8.95,
GTLINFRA,0.75,1.2,1.5,1.3
GTPL,153.85,136.9,173.75,183.65
GUFICBIO,323.3,225.35,236.45,299.15
GUJALKALI,731.95,778.95,944.1,742.1
GUJGASLTD,458.0,490.6,530.65,451.3
GULFOILLUB,585.1,432.4,462.7,551.75
GULFPETRO,45.8,42.8,60.6,45.4
GULPOLY,222.2,266.55,270.1,227.65
GVKPIL,5.0,3.2,,7.9
HAL,3941.75,2539.05,2544.15,3947.65
HAPPSTMNDS,924.7,887.4,1034.0,941.95
HARDWYN,38.9,339.35,263.15,39.8
HARIOMPIPE,630.4,359.1,282.15,586.45
HARRMALAYA,137.65,141.05,163.05,157.9
HARSHA,446.85,387.85,,431.95
HATHWAY,16.9,17.6,17.45,18.1
HATSUN,1180.85,899.9,1084.25,1186.45
HAVELLS,1377.75,1127.95,1358.4,1431.05
HBLPOWER,274.3,105.25,103.2,265.7
HBSL,57.7,55.8,58.0,56.45
HCC,29.0,21.45,13.25,25.1
HCG,350.45,284.15,271.25,362.2
