SYMBOL,momentum_total
SMLISUZU,30.248
PRIVISCL,30.248
RADICO,30.247
CHOLAFIN,30.246
BHAGCHEM,30.245
CIPLA,30.245
THANGAMAYL,30.244
TIDEWATER,30.244
BUTTERFLY,30.244
SUNDRMFAST,30.244
RPGLIFE,30.241
OLECTRA,30.241
GRWRHITECH,30.240
GRINFRA,30.239
BSE,30.238
JCHAC,30.235
TECHM,30.233
AMIORG,30.233
EBBETF0430,30.232
HCLTECH,30.232
GOODYEAR,30.230
MANYAVAR,30.230
MUTHOOTFIN,30.228
SHAREINDIA,30.225
CDSL,30.225
KAJARIACER,30.225
JASH,30.223
SBILIFE,30.220
CREDITACC,30.219
ICICIGI,30.219
ASTEC,30.219
GOCOLORS,30.218
ANANDRATHI,30.214
